Average lookup times in: nanoseconds

map BST(unbalanced) BST(balanced)
767.262 839.887 505.35 
750.441 812.476 498.558 
754.142 820.85 521.65 
771.85 836.996 513.481 
762.608 854.668 612.963 
781.156 836.287 511.749 
772.221 847.843 521.878 
767.791 837.997 514.682 
772.749 826.05 557.869 
816.74 854.201 518.095 
781.954 839.419 528.403 
783.166 851.091 552.782 
784.665 835.744 523.928 
771.75 844.689 527.074 
777.539 937.214 527.991 
781.724 848.263 531.37 
781.093 847.922 525.682 
775.327 842.667 533.295 
776.647 840.505 518.591 
789.319 841.381 535.772 
770.701 839.382 535.757 
800.162 857.434 524.447 
779.428 838.389 530.091 
785.722 845.862 537.209 
786.473 844.469 529.45 
784.139 847.615 540.043 
790.838 850.147 522.857 
770.915 845.437 535.208 
792.795 866.678 535.534 
789.158 852.635 526.395 
786.412 882.277 531.505 
782.826 863.813 586.273 
780.368 858.763 521.665 
782.765 851.06 536.676 
783.726 849.799 527.422 
778.65 852.66 532.985 
813.411 857.203 530.005 
782.642 903.479 524.094 
790.405 860.936 544.051 
797.088 873.03 543.225 
793.178 865.051 537.209 
793.976 859.029 536.447 
804.631 882.49 532.306 
790.794 852.663 539.563 
784.319 861.172 529.418 
789.133 872.419 541.365 
808.776 872.89 537.033 
798.434 861.871 532.06 
783.41 860.435 534.723 
788.643 877.063 536.121 
807.339 886.723 534.49 
803.632 875.543 535.758 
798.252 872.159 536.822 
802.513 880.644 544.191 
796.017 879.748 537.269 
803.86 873.411 549.746 
809.957 882.387 539.578 
801.539 876.711 535.093 
802.162 879.698 537.831 
787.139 871.132 535.572 
795.06 894.655 540.76 
790.819 861.789 542.476 
812.699 897.431 539.949 
800.066 879.251 561.901 
800.751 891.608 536.778 
797.81 892.845 553.655 
806.902 892.633 546.147 
829.029 884.179 543.54 
805.571 884.026 545.328 
810.656 885.528 543.155 
797.57 879.905 538.372 
805.715 872.523 546.833 
813.496 879.754 541.124 
805.67 990.734 547.054 
819.587 898.945 556.235 
848.342 892.027 557.04 
814.804 896.398 550.357 
812.418 893.698 550.739 
811.451 899.166 553.45 
815.405 892.199 564.124 
817.924 894.594 560.22 
817.002 920.745 561.407 
809.944 900.235 551.239 
814.075 903.47 545.758 
819.263 925.915 579.302 
809.676 896.018 549.725 
808.175 891.076 551.314 
828.567 900.833 554.898 
851.788 913.021 551.057 
824.42 905.189 558.72 
825.953 906.231 567.379 
824.39 897.812 545.787 
828.789 917.634 549.064 
832.354 909.971 552.645 
826.465 902.166 551.558 
825.88 916.541 551.108 
832.475 897.881 560.297 
822.031 919.532 562.185 
827.302 965.006 563.42 
817.804 914.952 594.488 
827.76 902.191 553.514 
843.486 917.01 562.396 
831.502 906.08 545.105 
828.357 902.493 557.969 
838.727 899.982 555.215 
825.832 920.177 556.385 
832.43 918.181 561.889 
829.29 908.163 595.327 
830.729 910.767 545.759 
834.719 915.221 567.514 
832.873 925.554 561.068 
834.224 932.22 563.406 
838.683 937.263 554.109 
825.671 926.295 558.128 
822.259 917.478 569.652 
827.391 926.591 602.891 
914.801 917.885 564.104 
830.747 972.088 555.236 
830.548 917.118 575.725 
836.766 931.287 552.995 
923.995 946.533 607.328 
843.247 930.349 560.373 
843.03 931.405 571.746 
834.511 928.27 556.495 
827.54 922.164 557.388 
835.506 982.946 617.299 
845.931 944.138 557.091 
831.266 939.811 569.749 
844.994 940.03 572.107 
844.682 941.164 577.729 
841.99 934.469 560.482 
858.053 956.46 565.149 
843.625 919.293 628.651 
833.59 926.764 577.058 
834.85 928.459 561.983 
867.672 940.86 569.742 
851.442 932.636 584.562 
853.96 933.273 566.838 
847.84 932.582 561.232 
843.904 927.374 563.326 
836.096 934.286 569.375 
852.719 948.023 577.603 
846.691 936.579 570.926 
842.695 934.074 576.98 
858.512 949.148 568.215 
841.297 935.232 568.258 
842.822 1047.18 560.317 
857.346 956.216 567.713 
838.462 1045.12 573.507 
843.034 944.105 567.253 
859.417 944.821 575.755 
848.262 953.334 588.968 
845.665 930.155 588.81 
846.602 1017.41 578.729 
848.772 946.672 573.503 
849.401 954.428 588.067 
849.13 1019.09 589.939 
869.773 976.608 576.883 
859.409 957.073 592.999 
964.627 954.094 582.798 
863.032 957.971 570.875 
870.305 960.007 589.364 
882.826 945.754 579.586 
886.723 959.127 577.503 
852.117 953.594 575.995 
863.646 952.745 579.406 
888.183 952.399 570.555 
862.246 962.704 610.283 
851.118 948.403 574.812 
853.432 951.507 569.548 
864.303 958.315 599.913 
863.77 968.3 585.235 
856.817 962.752 576.877 
857.071 956.641 574.904 
874.464 956.102 577.422 
879.566 966.284 565.409 
862.9 946.559 577.918 
847.995 946.428 580.568 
873.161 956.633 588.617 
862.203 959.776 569.135 
848.339 997.175 575.312 
853.455 942.209 575.929 
852.965 995.261 645.834 
861.957 949.152 599.303 
859.815 952.676 578.223 
859.612 966.685 588.16 
870.456 972.203 585.218 
860.153 974.12 605.987 
857.51 976.258 583.857 
866.907 993.294 597.293 
884.334 969.014 590.075 
885.872 971.666 584.745 
861.272 978.759 603.815 
868.506 972.653 587.352 
865.927 962.303 587.636 
866.406 965.536 582.852 
876.442 977.699 599.967 
945.79 965.706 578.018 
862.292 1018.88 600.627 
863.827 987.017 579.389 
862.962 964.68 578.975 
861.29 985.865 583.133 
876.651 963.359 592.562 
866.722 964.088 574.794 
870.201 972.798 587.23 
866.323 997.117 594.738 
875.042 1156.22 583.094 
879.156 982.924 586.959 
870.802 1038.12 588.129 
881.268 982.275 579.814 
871.422 979.276 580.92 
877.089 1003.61 585.508 
898.608 998.271 580.986 
872.118 1025.78 620.26 
875.554 985.685 587.909 
883.298 983.809 586.558 
880.756 997.342 581.732 
871.655 1009.03 578.778 
876.46 996.025 582.975 
875.864 972.38 587.055 
878.634 976.555 581.858 
886.244 1056.34 585.21 
876.962 985.217 586.14 
870.686 994.227 593.66 
880.05 979.213 594.121 
887.145 996.743 598.977 
890.162 994.175 596.639 
895.816 991.775 591.787 
892.674 988.287 589.13 
878.463 998.499 622.411 
874.658 977.638 594.419 
874.054 1016.13 587.754 
879.017 993.343 597.807 
880.704 1041.42 584.786 
881.194 1070.61 599.479 
885.512 985.811 590.141 
880.485 1008.19 590.674 
882.291 1011.38 600.347 
898.555 1008.19 590.235 
878.452 993.052 594.912 
885.009 993.65 595.657 
932.647 1008.79 599.053 
958.328 1007.36 603.788 
883.645 994.135 596.466 
883.965 1012.01 606.074 
886.389 1003.75 599.251 
969.157 995.714 602.935 
889.22 1001.48 606.82 
910.645 1018.59 600.611 
964.596 1011.33 604.882 
885.494 997.407 603.043 
885.314 1002.97 595.784 
883.589 1003.57 597.721 
884.464 1045.33 609.078 
901.369 1021.43 595.384 
931.514 1023.53 603.156 
887.804 1007.94 598.566 
903.319 993.175 598.873 
886.477 1003.85 599.327 
892.684 1045.2 609.036 
899.804 1009.21 607.479 
890.869 1023.93 612.81 
904.449 1006.1 611.983 
910.534 1053.14 609.925 
898.931 1018.04 659.261 
883.384 1004.39 603.864 
934.367 1059.43 611.978 
899.417 1050.97 605.728 
894.112 1056.51 605.943 
905.618 1030.68 606.974 
905.896 1022.74 618.693 
906.973 1049.57 607.784 
895.669 1004.39 608.751 
897.7 1016.64 614.32 
899.161 1006.7 604.546 
889.348 1036.31 603.141 
903.145 1037.07 621.011 
895.612 1032.8 613.654 
900.773 1037.81 609.915 
909.546 1038.75 604.172 
900.222 1051.56 614.413 
918.73 1048.64 615.17 
903.115 1025.92 609.355 
913.009 1035.2 617.073 
921.505 1028.09 614.458 
904.187 1045.08 616.766 
923.654 1027.63 620.036 
909.258 1031.68 622.238 
906.1 1038.16 622.258 
909.096 1074.16 615.591 
906.824 1022.91 618.223 
909.021 1034.76 613.631 
909.201 1016.62 614.099 
909.555 1032.43 623.144 
924.071 1021.96 615.118 
912.282 1025.81 617.338 
906.347 1028.53 619.628 
986.316 1034.19 629.886 
923.747 1037.09 635.498 
905.634 1036.65 617.776 
939.744 1074.7 616.822 
916.931 1036.69 618.356 
914.798 1040.14 616.255 
911.198 1029.87 612.777 
915.838 1052.01 625.55 
913.249 1045.88 619.45 
911.474 1039.81 630.207 
920.129 1048.97 621.3 
900.314 1028.26 613.685 
932.636 1038 616.118 
931.859 1029.24 628.758 
924.38 1058.39 612.459 
913.371 1044.29 619.748 
916.337 1042.06 668.648 
924.666 1047.79 630.654 
909.509 1029.49 633.087 
904.381 1022.13 615.394 
906.579 1025.29 626.543 
925.636 1046.91 631.08 
927.084 1032.01 622.442 
924.449 1050.15 627.667 
912.356 1029.43 624.349 
920.325 1047.57 633.846 
923.749 1038.05 625.311 
923.166 1045.91 630.701 
921.798 1049.24 635.879 
973.717 1031.74 630.938 
928.096 1044.14 633.516 
905.391 1036.56 620.175 
994.647 1034.53 622.407 
915.51 1062.04 631.619 
936.686 1039.65 619.394 
1008.76 1036.56 628.935 
929.032 1047.63 631.359 
920.071 1028.94 640.074 
933.547 1066.2 632.408 
915.226 1038.41 624.516 
916.074 1045.58 624.293 
925.991 1048.67 639.064 
920.03 1041.13 619.306 
943.833 1051.39 631.732 
931.406 1050.4 635.35 
915.885 1037.41 619.157 
921.306 1057.28 625.742 
932.932 1041.2 633.642 
919.551 1049.31 628.429 
926.626 1062 629.936 
938.43 1084.97 627.409 
929.411 1052.19 637.703 
923.201 1044.95 633.376 
927.256 1044.08 639.878 
921.028 1037.45 626.908 
919.66 1073.27 648.111 
938.405 1048.98 642.641 
943.295 1113.7 622.963 
931.398 1054.45 627.484 
967.884 1057.85 637.51 
941.535 1037.11 641.661 
924.178 1059.75 626.216 
919.247 1080.63 633.671 
934.674 1072.09 634.211 
927.169 1051.17 642.175 
938.285 1104.9 633.769 
943.352 1057.11 629.761 
929.363 1051.72 648.762 
925.732 1059.89 638.103 
927.783 1049.08 630.296 
943.259 1053.83 639.834 
1010.94 1115.34 636.935 
930.751 1129.99 631.932 
936.674 1067.43 629.153 
938.979 1080.54 647.798 
928.567 1070.8 633.481 
933.699 1055.93 639.727 
943.141 1061.14 654.339 
945.099 1074.91 641.711 
943.473 1054.34 644.151 
934.703 1075.08 642.743 
947.651 1107.37 642.543 
928.623 1053.36 632.38 
933.146 1052.6 642.425 
945.958 1068.05 698.2 
945.276 1069.4 641.453 
942.574 1067.2 639.44 
926.477 1071.52 634.847 
950.529 1078.06 644.284 
951.619 1079.53 648.589 
953.063 1079.59 641.394 
929.027 1080.91 643.247 
945.367 1087.21 640.983 
944.313 1092.26 633.369 
929.03 1088.28 643.344 
934.383 1068.7 638.92 
947.185 1069.75 636.449 
932.356 1092.73 634.579 
941.85 1077.32 651.773 
955.084 1086.14 647.392 
998.757 1067.52 637.248 
959.591 1069.08 639.494 
934.049 1062.55 638.861 
945.692 1082.97 647.838 
944.572 1093.6 647.008 
935.893 1076.89 638.39 
955.94 1137.62 643.475 
986.287 1079.31 648.795 
942.666 1093.64 648.673 
973.331 1092.28 646.311 
951.39 1077.77 652.077 
948.981 1081.22 647.452 
953.331 1099.3 651.658 
952.412 1127.9 643.169 
953.169 1092.38 650.264 
939.983 1102.54 656.715 
953.056 1086.15 641.042 
959.677 1084.92 654.87 
981.521 1092.21 654.411 
948.703 1078.81 638.809 
952.09 1094.98 645.233 
953.143 1100.84 649.233 
963.574 1081.09 643.799 
963.068 1103.66 652.9 
960.159 1083.47 640.865 
950.041 1095.42 672.22 
945.359 1091.21 641.61 
944.624 1089.18 641.695 
965.878 1105.61 647.094 
960.438 1089.43 651.996 
956.283 1096.73 650.613 
959.176 1079.96 649.453 
947.051 1124.73 649.054 
959.705 1094.06 649.793 
958.413 1088.34 637.747 
947.319 1089.16 702.965 
950.009 1079.44 640.347 
963.875 1094.13 646.472 
943.674 1079.68 648.384 
960.357 1098.1 645.031 
986.714 1096.28 651.826 
953.464 1086.02 648.824 
961.579 1075.97 642.05 
991.509 1082.84 646.386 
948.222 1087.98 654.052 
984.731 1106.2 648.884 
960.046 1122.2 651.223 
960.414 1098.42 667.131 
958.225 1087.28 641.884 
972.348 1119.86 655.7 
956.648 1090.45 656.696 
965.491 1080.26 639.595 
973.547 1087.33 643.518 
969.386 1095.01 657.912 
973.001 1079.2 650.706 
968.276 1086.95 646.668 
956.868 1094.15 644.266 
974.035 1097.35 657.116 
963.466 1074.52 646.716 
953.427 1098.81 649.508 
958.34 1104.86 647.067 
963.281 1092.75 653.57 
985.871 1100.01 644.084 
953.716 1093.75 657.462 
966.282 1100.94 697.646 
970.439 1096.05 655.147 
958.611 1142.4 656.051 
962.974 1092.68 647.418 
958.665 1140.86 649.645 
958.008 1093.21 662.751 
974.243 1091.61 647.285 
984.142 1100.07 656.608 
996.228 1095.64 649.168 
961.956 1089.14 648.803 
968.635 1094.79 651.919 
958.811 1106.87 656.247 
965.341 1114.48 681.451 
957.651 1108.82 647.168 
961.071 1108.07 658.364 
955.219 1098.33 659.76 
961.212 1131.79 657.664 
985.214 1123.89 662.318 
954.133 1104.46 655.317 
963.601 1095.34 661.415 
958.741 1090.39 654.87 
974.848 1103.39 652.493 
957.819 1103 651.628 
969.331 1103.51 687.852 
995.921 1149.41 653.544 
960.391 1097.35 657.315 
978.3 1100.66 654.737 
960.725 1105.24 655.728 
966.165 1110.48 661.144 
974.935 1122.86 671.695 
972.817 1133.98 651.863 
1034.26 1110.16 674.626 
976.461 1113.46 656.474 
991.723 1123.26 655.196 
1002.6 1097.25 657.744 
971.558 1103.92 658.99 
977.446 1112.97 665.308 
976.705 1113.08 675.72 
960.583 1124.37 659.033 
996.007 1131.48 662.445 
979.857 1110.42 692.554 
1000.6 1120.85 673.887 
975.222 1174.26 670.098 
990.029 1135.46 675.003 
980.164 1125.42 670.558 
980.957 1101.99 667.926 
970.559 1102.09 658.764 
981.04 1139.25 671.971 
1021.7 1116.35 662.92 
970.728 1111.86 659.837 
964.382 1109.51 657.626 
982.332 1118.29 665.389 
983.312 1110.83 664.507 
964.871 1109.85 668.162 
970.461 1135.2 656.249 
985.414 1160.27 668.111 
972.912 1126.93 672.956 
986.824 1118.86 661.764 
972.783 1108.99 657.918 
968.437 1126.84 673.269 
995.939 1130.52 670.192 
984.466 1133.03 677.006 
991.845 1110.06 672.156 
983.519 1116 665.753 
1006.03 1133.88 665.38 
998.128 1131.71 668.171 
974.94 1126.6 678.347 
995.671 1128.54 661.792 
981.8 1125.43 671.949 
988.89 1129.76 661.679 
996.677 1116.89 670.442 
979.003 1106.69 665.248 
995.345 1122.56 668.561 
984.609 1144.38 667.252 
973.058 1123.33 668.074 
983.44 1124.76 667.973 
1074.55 1118.55 663.316 
991.549 1125.41 670.875 
986.968 1115.23 672.48 
986.806 1155.27 677.53 
991.782 1130.38 715.649 
986.106 1131.18 680.879 
989.259 1136.93 678.284 
975.654 1160.5 670.934 
992.017 1132.83 672.604 
988.722 1133.64 687.127 
980.523 1112.51 660.25 
984.002 1125.49 683.089 
976.455 1147.69 690.904 
978.464 1114.64 677.315 
999.267 1127.02 672.958 
988.832 1145.53 677.826 
984.681 1166.89 687.844 
980.445 1177.28 681.663 
986.862 1184.63 673.108 
991.907 1176.59 679.43 
995.485 1141.89 674.081 
994.124 1128.94 680.183 
987.21 1130.3 679.478 
996.778 1123.58 677.068 
1009.04 1141.69 692.2 
989.179 1123.52 666.526 
986.262 1139.92 679.494 
997.167 1151.17 673.608 
987.268 1148.92 735.34 
994.536 1148.25 678.774 
1003.91 1137.49 669.184 
998.704 1147.89 680.504 
1008.87 1180.63 685.096 
985.371 1233.79 666.158 
995.379 1148.71 701.641 
995.573 1126.15 672.68 
986.52 1121.75 670.812 
988.827 1138.06 678.404 
1007.84 1130.19 747.284 
1010.3 1150.22 679.761 
1000.75 1143.65 683.811 
1002.65 1156.9 691.568 
997.865 1148.5 691.74 
987.946 1135.38 678.469 
1019.45 1156.07 713.842 
997.995 1169.06 684.875 
986.408 1126.4 681.902 
996.023 1130.64 679.651 
999.254 1158.79 677.515 
993.285 1138.53 680.613 
1005.08 1147.19 687.794 
1000.12 1174.08 686.598 
986.248 1148.04 722.588 
999.11 1131.31 688.594 
1024.71 1138.36 678.797 
1007.48 1152.5 682.857 
1010.03 1147.67 684.848 
1009.77 1131.86 680.282 
1006.61 1150.4 685.549 
1001.92 1175.49 681.135 
1011.02 1142.29 696.694 
1015.3 1142.59 696.217 
1009.3 1163.83 686.239 
1004.68 1154.7 685.496 
1012.33 1165.36 693.356 
987.808 1159.72 691.969 
1004.5 1160.35 684.423 
1006.33 1148.97 685.975 
1060.39 1142.66 676.818 
992.94 1150.9 692.266 
1044.03 1153.07 702.183 
1014.15 1146.74 696.37 
1009.65 1150.95 696.497 
1006.18 1158.89 686.839 
1011.37 1152.4 693.596 
1012.68 1156.15 682.607 
998.225 1143.35 700.522 
997.217 1152.07 683.162 
1001.26 1160.21 697.578 
1012.76 1146.37 686.285 
1009.36 1158.29 691.302 
1008.13 1153.48 693.784 
1012.69 1168.09 685.959 
1016.14 1154.85 677.407 
1000.43 1171.41 685.971 
1013.23 1158.44 693.881 
1007.01 1170.38 681.712 
1016.09 1151.62 699.987 
1022.52 1142.92 689.886 
1007.08 1159.85 691.514 
1006.71 1192.53 679.345 
1067.27 1156.35 682.232 
1012.5 1166.73 690.76 
1013.61 1159.55 692.548 
1014.96 1160.54 682.467 
1050.35 1171.53 681.322 
1053.11 1162.94 688.835 
1008.36 1160.96 686.709 
1020.74 1162.52 690.091 
1005.91 1171.43 694.084 
1002.8 1153.7 684.084 
1031.65 1171.7 740.634 
1029.3 1157.59 728.93 
1025.91 1179.75 686.824 
1027.27 1173.88 694.356 
1024.21 1167.29 690.289 
1019.74 1172.61 687.725 
1017.77 1158.99 697.487 
1013.02 1156.65 704.187 
1075.48 1154.83 698.525 
1056.61 1172.16 687.87 
1018.66 1182.2 698.59 
1033.03 1178.24 682.909 
1049.73 1176.61 693.317 
1032.8 1172.86 714.571 
1020.76 1177.32 697.454 
1007.27 1158.44 688.573 
1019.97 1152.99 694.207 
1022.03 1169.68 687.669 
1008.32 1161.46 693.393 
1033.81 1172.45 690.875 
1028.36 1162.8 719.749 
1025.2 1165.91 704.704 
